,marca,subtipo,tamaño,precio,pack,precio_final
245,Glaciar,Sin Gas,6.3,269.12,1,269.12
246,Glaciar,Sin Gas,750,81.39,1,81.39
247,Glaciar,Sin Gas,1500,76.03,1,76.03
248,Glaciar,Sin Gas,1500,81.69,1,81.69
249,Glaciar,Sin Gas,500,51.42,1,51.42
250,Glaciar,Sin Gas,2000,77.99,1,77.99
251,Gatorade,Manzana,1250,128.17,1,128.17
252,Gatorade,Frutas Tropi,1250,128.17,1,128.17
253,Gatorade,Cool Blue,1250,128.17,1,128.17
254,Gatorade,Manzana,500,76.44,1,76.44
