,marca,subtipo,tamaño,precio,pack,descuento,precio_final
420,Brahma,Clásica,354,453.15,6,1.0,75.5
421,Brahma,Clásica,3000,44.73,1,1.0,44.7
422,Brahma,Clásica,710,220.0,1,1.0,220.0
423,Brahma,Clásica,473,116.0,1,1.0,116.0
424,Budweiser,,710,150.0,1,1.0,150.0
425,Budweiser,,1000,544.5,6,1.0,90.8
426,Corona,,710,287.0,1,1.0,287.0
427,Corona,,330,166.0,1,1.0,166.0
428,Corona,,269,1460.0,10,1.0,146.0
429,Heineken,,473,182.0,1,1.0,182.0
430,Heineken,,710,259.0,1,1.0,259.0
431,Andes,Rubia,473,661.5,6,1.0,110.2
432,Imperial,Rubia,710,205.95,1,1.0,206.0
433,Imperial,Other,473,120.08,1,1.0,120.1
434,Imperial,Other,1000,234.55,1,1.0,234.6
435,Andes,Ipa,473,755.25,6,1.0,125.9
436,Budweiser,,710,150.0,1,1.0,150.0
437,Patagonia,24.7,710,227.25,1,1.0,227.2
438,Imperial,Rubia,1000,297.45,1,1.0,297.4
439,Imperial,Other,473,200.2,1,1.0,200.2
440,Patagonia,Bohemian Pilsener,730,227.25,1,1.0,227.2
441,Patagonia,Hoppy Lager,730,227.25,1,1.0,227.2
442,Andes,Rubia,1000,177.75,1,1.0,177.8
443,other,other,473,119.8,1,1.0,119.8
444,other,other,473,110.48,1,1.0,110.5
445,Imperial,Other,473,171.6,1,1.0,171.6
446,other,other,1000,184.3,1,1.0,184.3
447,Quilmes,Stout,3000,52.4,1,1.0,52.4
448,other,other,500,89.0,1,1.0,89.0
449,Andes,Ipa,1000,203.25,1,1.0,203.2
450,Imperial,Other,473,200.2,1,1.0,200.2
451,Schneider,,710,169.0,1,1.0,169.0
452,other,other,2000,233.06,1,1.0,233.1
453,Imperial,Rubia,1000,234.55,1,1.0,234.6
454,other,other,473,232.0,1,1.0,232.0
455,Budweiser,,1000,544.5,6,1.0,90.8
456,other,other,710,300.0,1,1.0,300.0
457,other,other,710,264.0,1,1.0,264.0
458,Patagonia,Amber Lager,473,172.5,1,1.0,172.5
459,other,other,473,113.7,1,1.0,113.7
460,Stella Artois,,269,831.0,6,1.0,138.5
461,Stella Artois,,710,256.5,1,1.0,256.5
462,Andes,Rubia,473,122.25,1,1.0,122.2
463,Quilmes,Clásica,3000,46.32,1,1.0,46.3
464,other,other,473,253.26,1,1.0,253.3
465,other,other,1000,163.25,1,1.0,163.2
466,other,other,473,166.87,1,1.0,166.9
467,Imperial,Other,473,148.75,1,1.0,148.8
468,Brahma,Clásica,710,220.0,1,1.0,220.0
469,Brahma,Clásica,473,116.0,1,1.0,116.0
470,Stella Artois,,473,690.29,6,1.0,115.0
471,Patagonia,24.7,473,1032.0,6,1.0,172.0
472,other,other,473,166.87,1,1.0,166.9
473,Schneider,,473,109.0,1,1.0,109.0
474,Patagonia,Other,473,1029.75,6,1.0,171.6
475,other,other,473,1374.0,6,1.0,229.0
476,Patagonia,24.7,710,227.25,1,1.0,227.2
477,Patagonia,Bohemian Pilsener,730,227.25,1,1.0,227.2
478,Patagonia,Hoppy Lager,730,227.25,1,1.0,227.2
479,Patagonia,Amber Lager,473,172.5,1,1.0,172.5
480,Patagonia,24.7,473,1032.0,6,1.0,172.0
481,Patagonia,Other,473,1029.75,6,1.0,171.6
482,Heineken,,473,182.0,1,1.0,182.0
483,Heineken,,710,259.0,1,1.0,259.0
484,Andes,Rubia,473,661.5,6,1.0,110.2
485,Imperial,Rubia,710,205.95,1,1.0,206.0
486,Imperial,Other,473,120.08,1,1.0,120.1
487,Imperial,Other,1000,234.55,1,1.0,234.6
488,Corona,,710,287.0,1,1.0,287.0
489,Andes,Ipa,473,755.25,6,1.0,125.9
490,Budweiser,,710,150.0,1,1.0,150.0
491,Imperial,Rubia,1000,297.45,1,1.0,297.4
492,Imperial,Other,473,200.2,1,1.0,200.2
493,Andes,Rubia,1000,177.75,1,1.0,177.8
494,other,other,473,119.8,1,1.0,119.8
495,other,other,473,110.48,1,1.0,110.5
496,Imperial,Other,473,171.6,1,1.0,171.6
497,Corona,,330,166.0,1,1.0,166.0
498,other,other,1000,184.3,1,1.0,184.3
499,Quilmes,Stout,3000,52.4,1,1.0,52.4
500,other,other,500,89.0,1,1.0,89.0
501,Andes,Ipa,1000,203.25,1,1.0,203.2
502,Imperial,Other,473,200.2,1,1.0,200.2
503,Schneider,,710,169.0,1,1.0,169.0
504,other,other,2000,233.06,1,1.0,233.1
505,Imperial,Rubia,1000,234.55,1,1.0,234.6
506,other,other,473,232.0,1,1.0,232.0
507,Budweiser,,1000,544.5,6,1.0,90.8
508,other,other,710,300.0,1,1.0,300.0
509,other,other,710,264.0,1,1.0,264.0
510,other,other,473,113.7,1,1.0,113.7
511,Corona,,269,1460.0,10,1.0,146.0
512,Stella Artois,,269,831.0,6,1.0,138.5
513,Stella Artois,,710,256.5,1,1.0,256.5
514,Andes,Rubia,473,122.25,1,1.0,122.2
515,Quilmes,Clásica,3000,46.32,1,1.0,46.3
516,other,other,473,253.26,1,1.0,253.3
517,other,other,1000,163.25,1,1.0,163.2
518,Imperial,Other,473,148.75,1,1.0,148.8
519,other,other,473,166.87,1,1.0,166.9
520,Brahma,Clásica,710,220.0,1,1.0,220.0
521,Brahma,Clásica,473,116.0,1,1.0,116.0
522,Stella Artois,,473,690.29,6,1.0,115.0
523,other,other,473,166.87,1,1.0,166.9
524,Schneider,,473,109.0,1,1.0,109.0
525,other,other,473,1374.0,6,1.0,229.0
526,Quilmes,Stout,3000,52.4,1,1.0,52.4
527,Quilmes,Clásica,3000,46.32,1,1.0,46.3
528,Quilmes,1890,1000,154.81,1,1.0,154.8
529,Quilmes,Red Lager,473,665.0,6,1.0,110.8
530,Quilmes,Bock,1000,173.0,1,1.0,173.0
531,Quilmes,Red Lager,473,138.0,1,1.0,138.0
532,Quilmes,Stout,1000,167.0,1,1.0,167.0
533,Stella Artois,,269,831.0,6,1.0,138.5
534,Stella Artois,,710,256.5,1,1.0,256.5
535,Stella Artois,,473,690.29,6,1.0,115.0
536,Stella Artois,,other,223.5,1,1.0,223.5
537,Stella Artois,,330,103.5,1,1.0,103.5
538,Stella Artois,,473,756.56,6,1.0,126.1
539,Stella Artois,,other,222.0,1,1.0,222.0
540,h2o,Citrus,2250,170.0,1,1.0,170.0
541,h2o,Other,2250,1288.55,1,1.0,1288.6
542,h2o,Other,1500,133.0,1,1.0,133.0
543,h2o,Other,2250,181.0,1,1.0,181.0
544,h2o,Citrus,500,60.0,1,1.0,60.0
545,h2o,Limoneto,2250,170.0,1,1.0,170.0
546,h2o,Citrus,1500,105.43,1,1.0,105.4
547,h2o,Citrus,354,53.0,1,1.0,53.0
548,other,other,269,481.0,6,1.0,80.2
549,other,other,other,456.0,1,1.0,456.0
550,other,other,other,396.0,1,1.0,396.0
551,other,other,2000,871.0,1,1.0,871.0
552,other,other,other,932.0,1,1.0,932.0
553,other,other,2000,366.0,1,1.0,366.0
554,other,other,2000,190.0,1,1.0,190.0
555,other,other,other,758.0,1,1.0,758.0
556,other,other,other,623.0,1,1.0,623.0
557,other,other,other,267.0,1,1.0,267.0
558,other,other,2000,316.0,1,1.0,316.0
559,other,other,other,822.0,6,1.0,137.0
560,other,other,other,190.0,1,1.0,190.0
561,other,other,other,68.0,1,1.0,68.0
562,other,other,2000,749.25,1,1.0,749.2
563,other,other,2000,1619.0,6,1.0,269.8
564,other,other,2000,1619.0,6,1.0,269.8
565,other,other,2000,1619.0,6,1.0,269.8
566,other,other,3000,29999.0,6,1.0,4999.8
567,other,other,2000,43999.0,1,1.0,43999.0
568,other,other,3000,29999.0,6,1.0,4999.8
569,other,other,2000,37999.0,6,1.0,6333.2
570,other,other,2000,49999.0,1,1.0,49999.0
571,other,other,2000,64999.0,1,1.0,64999.0
572,other,other,2000,43999.0,1,1.0,43999.0
573,other,other,2000,33999.0,6,1.0,5666.5
574,other,other,2000,33999.0,6,1.0,5666.5
575,other,other,2000,21999.0,1,1.0,21999.0
576,other,other,2000,82999.0,1,1.0,82999.0
577,other,other,2000,209.0,6,1.0,34.8
578,other,other,2000,499.0,1,1.0,499.0
579,other,other,other,559.0,1,1.0,559.0
580,other,other,2000,1212.72,1,1.0,1212.7
581,other,other,2000,359.0,1,1.0,359.0
582,other,other,2000,219.0,6,1.0,36.5
583,other,other,2000,2299.0,6,1.0,383.2
584,other,other,other,829.0,1,1.0,829.0
585,other,other,1000,24599.0,1,1.0,24599.0
586,other,other,3000,73999.0,6,1.0,12333.2
587,other,other,1000,239.0,1,1.0,239.0
588,other,other,other,990.0,1,1.0,990.0
589,other,other,1000,189.0,1,1.0,189.0
590,Pepsi,Pet,2250,205.0,1,1.0,205.0
591,Pepsi,Pet,1500,135.0,1,1.0,135.0
592,Pepsi,Pet,3000,261.0,1,1.0,261.0
