,marca,subtipo,tamaño,precio,promo,precio_promo,pack,precio_final
134,none,none,1000,911,1.0,911.0,1,911.0
135,none,none,2000,257,1.0,257.0,1,257.0
136,none,none,1000,911,1.0,911.0,1,911.0
137,none,none,1000,257,1.0,257.0,1,257.0
138,Callia,,750,453,1.0,453.0,1,453.0
139,Callia,Alta Malbec,750,453,1.0,453.0,1,453.0
140,Callia,Alta Cabernet Sauvignon,750,370,1.0,370.0,1,370.0
141,Callia,,750,453,1.0,453.0,1,453.0
142,Callia,Alta Malbec,other,244,1.0,244.0,1,244.0
143,Callia,,750,370,1.0,370.0,1,370.0
144,Callia,,750,370,1.0,370.0,1,370.0
145,Callia,Alta Cabernet Sauvignon,750,453,1.0,453.0,1,453.0
146,Budweiser,,1000,215,1.0,215.0,1,215.0
147,Budweiser,,1000,745,1.0,745.0,6,124.17
148,Budweiser,,710,208,1.0,208.0,1,208.0
149,Brahma,Clásica,1000,151,1.0,151.0,1,151.0
150,Brahma,Clásica,473,124,1.0,124.0,1,124.0
151,Brahma,Clásica,710,254,1.0,254.0,1,254.0
152,Blasfemia,,269,155,1.0,155.0,1,155.0
153,Blasfemia,Rosado,269,136,1.0,136.0,1,136.0
154,Awafrut,Pomelo,1650,99,1.0,99.0,1,99.0
155,Andes,Rubia,473,908,0.75,681.0,6,113.5
156,Andes,IPA,473,1038,0.75,778.5,6,129.75
157,Andes,Roja,473,1038,0.75,778.5,6,129.75
158,Andes,Rubia,1000,243,1.0,243.0,1,243.0
159,Andes,Roja,1000,279,1.0,279.0,1,279.0
160,Andes,Roja,other,74,1.0,74.0,1,74.0
161,Andes,IPA,other,82,1.0,82.0,1,82.0
162,Andes,IPA,473,1038,1.0,1038.0,6,173.0
163,Andes,IPA,1000,279,1.0,279.0,1,279.0
164,Eco de los Andes,Sin Gas,2000,105,1.0,105.0,1,105.0
165,7up,Normal,2250,226,0.75,169.5,1,169.5
166,7up,Normal,1500,114,1.0,114.0,1,114.0
167,7up,Normal,500,78,1.0,78.0,1,78.0
168,7up,Sin Azúcar,500,64,1.0,64.0,1,64.0
169,7up,Sin Azúcar,1500,145,1.0,145.0,1,145.0
