,sku,marca,tamaño,subtipo,pack,disco,coto,vea,walmart
85,1461,7up,500,Sin Azúcar,1,64.0,,64.0,
86,5294,7up,354,Sin Azúcar,1,,,,
87,19339,7up,3000,Normal,1,,,,
88,7465,h2o,1500,Citrus,1,105.0,105.43,105.0,105.4
89,1659,h2o,2250,Citrus,1,,,181.0,170.0
90,1433,h2o,500,Citrus,1,,60.16,60.0,60.0
91,7463,h2o,1500,Limoneto,1,,105.35,105.0,
92,8067,h2o,2250,Limoneto,1,,,181.0,170.0
93,8065,h2o,500,Limoneto,1,,,60.0,60.0
94,7475,Paso De Los Toros,1500,Pomelo,1,167.0,163.17,163.0,163.0
95,1483,Paso De Los Toros,500,Pomelo,1,78.0,,76.0,
96,7476,Paso De Los Toros,1500,Tónica,1,168.0,163.17,164.0,
97,21699,Paso De Los Toros,269,Pomelo,1,56.0,35.97,54.0,
98,21698,Paso De Los Toros,269,Tónica,1,,,,
99,13952,Pepsi,354,Black,1,,43.92,66.0,44.2
100,14191,Pepsi,1500,Black,1,111.0,110.85,,
101,13950,Pepsi,2250,Black,1,151.33,221.75,222.0,213.0
102,13953,Pepsi,500,Black,1,68.0,,68.0,68.4
103,21967,Pepsi,354,Pet,1,,43.92,66.0,
104,19086,Pepsi,1500,Pet,1,131.0,131.51,124.0,135.0
105,19087,Pepsi,2250,Pet,1,151.33,175.47,171.0,205.0
106,21973,Pepsi,500,Pet,1,78.0,75.02,76.0,75.0
107,19089,Pepsi,3000,Pet,1,,260.61,,261.0
108,7478,Mirinda,1500,Naranja,1,76.0,,77.0,
109,citric,citric,1500,,1,285.0,219.0,384.0,
110,citric,citric,1000,,1,273.0,158.0,262.0,
111,22057,coco,0,Original ,1,,,,
112,22062,coco,0,Coco,1,,,,
113,22064,coco,0,Vainilla,1,,,,
114,22467,Blasfemia,269,Tinto,1,,,,
115,22469,Blasfemia,269,Blanco Chenin,1,,,,
116,22470,Blasfemia,269,Rosado,1,136.0,,,
117,22454,Capriccio Dolceza,750,Blanco,1,,,,
118,22457,Dante Robino,750,Chardonnay,1,,,,672.0
119,22459,Dante Robino,750,Malbec,1,,678.69,,672.0
120,22478,Dante Robino,750,Cabernet Sauvignon,1,,678.69,,672.0
121,22458,Dante Robino,750,Extra Brut,1,,,,
122,22327,Novecento,750,Raices Cabernet Sauvignon,1,451.0,432.89,,400.0
123,22320,Novecento,750,Raices Chardonnay,1,,,,347.0
124,22452,Novecento,750,Raices Malbec,1,,432.89,,400.0
125,22329,Novecento,750,Tinto Malbec,1,,329.59,,305.0
126,22319,Novecento,750,Tinto Cabernet Sauvignon,1,331.0,329.59,185.0,305.0
127,22321,Novecento,750,Blanco Chardonnay,1,,,,
128,22464,Novecento,750,Espumante Extra Brut,1,,360.0,218.0,361.0
129,22328,Novecento,750,Espumante Extra Dulce,1,,390.0,,
130,VP15414,Portillo,750,Blanco Chardonnay,1,,480.0,,
131,VP15411,Portillo,750,Tinto Cabernet Sauvignon,1,,480.0,,461.0
132,VP35411,Portillo,750,Tinto Malbec,1,490.0,480.0,299.0,461.0
133,VS35415,Salentein,750,Reserve Malbec,1,745.0,1240.0,457.0,
134,VS654A1,Salentein,750,Espumante Extra Brut,1,,990.0,,
135,VS15414,Salentein,750,Chardonnay Reserva,1,,1240.0,,
136,VC15413,Callia,750,Alta Cabernet Sauvignon,1,370.0,355.0,227.0,355.0
137,VC15414,Callia,750,Alta Chardonnay,1,,355.0,,
138,VC35413,Callia,750,Alta Malbec,1,453.0,355.0,227.0,355.0
