sku,marca,tamaño,subtipo,pack,coto_marca,coto_subtipo,disco_marca,disco_subtipo,vea_marca,vea_subtipo
19254,Andes,473,IPA,1,andes,ipa,andes,ipa,andes,ipa
19254,Andes,473,IPA,6,andes,ipa,andes,ipa,andes,ipa
17933,Andes,473,Negra,1,andes,negra,andes,negra,andes,negra
17933,Andes,473,Negra,6,andes,negra,andes,negra,andes,negra
17932,Andes,473,Roja,1,andes,red,andes,roja,andes,roja
17932,Andes,473,Roja,6,andes,red,andes,roja,andes,roja
16811,Andes,473,Rubia,6,andes,cerveza andes,andes,rubia,andes,rubia
16811,Andes,473,Rubia,1,andes,cerveza andes,andes,rubia,andes,rubia
7633,Brahma,354,Clásica,1,brahma,brahma,brahma,brahma,brahma,brahma
7634,Brahma,473,Clásica,1,brahma,brahma,brahma,brahma,brahma,brahma
7633,Brahma,354,Clásica,6,brahma,brahma,brahma,brahma,brahma,brahma
7634,Brahma,473,Clásica,6,brahma,brahma,brahma,brahma,brahma,brahma
19026,Budweiser,473,,1,budweiser,budweiser,budweiser,budweiser,budweiser,budweiser
19026,Budweiser,473,,6,budweiser,budweiser,budweiser,budweiser,budweiser,budweiser
20412,Corona,330,,1,corona,corona,corona,corona,corona,corona
20433,Corona,710,,1,corona,corona,corona,corona,corona,corona
21864,Corona,269,,1,corona,corona,corona,corona,corona,corona
20412,Corona,330,,6,corona,corona,corona,corona,corona,corona
20433,Corona,710,,6,corona,corona,corona,corona,corona,corona
21864,Corona,269,,10,corona,corona,corona,corona,corona,corona
22017,Patagonia,269,Hoppy Lager,1,patagonia,cerveza lager,patagonia,hoppy,patagonia,hoppy
22017,Patagonia,269,Hoppy Lager,10,patagonia,cerveza lager,patagonia,hoppy,patagonia,hoppy
16225,Patagonia,473,Amber Lager,1,patagonia,amber lager,patagonia,amber lager,patagonia,amber lager
16225,Patagonia,473,Amber Lager,6,patagonia,amber lager,patagonia,amber lager,patagonia,amber lager
18355,Patagonia,730,Amber Lager,1,patagonia,amber lager,patagonia,amber lager,patagonia,amber lager
18377,Patagonia,730,Bohemian Pilsener,1,patagonia,bohemian,patagonia,bohemian,patagonia,bohemian
20471,Patagonia,730,Hoppy Lager,1,patagonia,cerveza lager,patagonia,cerveza lager,patagonia,cerveza lager
15621,Patagonia,473,24.7,6,patagonia,cerveza patagonia,patagonia,ipa,patagonia,ipa
15621,Patagonia,473,24.7,1,patagonia,cerveza patagonia,patagonia,ipa,patagonia,ipa
18354,Patagonia,730,24.7,1,patagonia,ipa,patagonia,ipa,patagonia,ipa
19498,Patagonia,473,Weisse,1,patagonia,weisse,patagonia,weisse,patagonia,weisse
19498,Patagonia,473,Weisse,6,patagonia,weisse,patagonia,weisse,patagonia,weisse
18361,Patagonia,730,Weisse,1,patagonia,weisse,patagonia,weisse,patagonia,weisse
13224,Quilmes,473,1890,6,quilmes,1890,quilmes,1890,quilmes,1890
16986,Quilmes,473,Bock,6,quilmes,bock,quilmes,bock,quilmes,bock
